Feature,CompGroup(C),BaseGroup(B),NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,95%Conf.Int.1,95%Conf.Int.2,MeanC,MeanB,NullValue-DifferenceInMeans,Alternative,Method,FDR
X3690388_ABCC12,Relapse,RelapseFree,20,20,1.02273969437579,0.465941469350437,37.5541891509513,0.643948667860823,-0.108554959438954,0.173432959438954,3.2805105,3.2480715,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3591006_SNAP23,Relapse,RelapseFree,20,20,1.07447059416576,0.465943987953248,37.2630941659207,0.643967816671005,-0.346892081729368,0.554144081729369,6.5428525,6.4392265,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3620276_EHD4,Relapse,RelapseFree,20,20,-1.03363512381356,-0.465974839217517,36.7869725954435,0.643980893166219,-0.255298280034879,0.159844280034879,4.9210225,4.9687495,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3092605_UBXN8,Relapse,RelapseFree,20,20,-1.0806913184465,-0.465711259081063,37.9999579516181,0.644080527918641,-0.598608065358478,0.374699065358479,4.7699765,4.881931,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2363444_USP21,Relapse,RelapseFree,20,20,1.02402043105937,0.465723256990172,37.2069655777957,0.644128435607929,-0.114712892650545,0.183201892650546,5.251528,5.2172835,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3743306_CLEC10A,Relapse,RelapseFree,20,20,-1.02016817466745,-0.465744914017891,36.8490648764474,0.644139332159107,-0.154147278939906,0.0965332789399057,3.597592,3.626399,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2854737_PRKAA1,Relapse,RelapseFree,20,20,1.06711821034674,0.46553081307479,37.9992304860823,0.644208590584997,-0.313828419753203,0.501268419753201,6.612543,6.518823,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3657367_ZNF267,Relapse,RelapseFree,20,20,-1.08365085128828,-0.465335084433846,37.7649493868426,0.644363864663518,-0.620214541346505,0.388414541346505,5.079793,5.195693,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2632491_NSUN3,Relapse,RelapseFree,20,20,1.08314470822299,0.465276283804217,37.9044267559493,0.64439579167143,-0.386158158988566,0.616610158988566,6.051508,5.936282,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2857131_DHX29,Relapse,RelapseFree,20,20,1.07330566692067,0.465244590381487,37.6452867040562,0.644436526583613,-0.34216908512135,0.54629108512135,4.897737,4.795676,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3948543_FAM118A,Relapse,RelapseFree,20,20,1.09316562529974,0.465541505927037,34.6542678631422,0.644456327871578,-0.432096027960085,0.689120027960085,6.0983955,5.9698835,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3422703_ATXN7L3B,Relapse,RelapseFree,20,20,1.07588844664544,0.465411054665394,35.5758606787264,0.644473705748019,-0.354517191323298,0.565574191323297,8.043662,7.9381335,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3817984_SAFB,Relapse,RelapseFree,20,20,1.03041249993056,0.465325444187161,34.972053515632,0.644583152544991,-0.14535103540612,0.23179503540612,7.9910455,7.9478235,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3893250_BIRC7,Relapse,RelapseFree,20,20,-1.02520825471439,-0.465120539673891,36.0631810963763,0.644641574078357,-0.192518601264235,0.120684601264236,5.218651,5.254568,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3110789_ZFPM2,Relapse,RelapseFree,20,20,-1.05482451051169,-0.464928705085678,37.8536083428763,0.644645982119837,-0.412332313902076,0.258326313902076,3.9272055,4.0042085,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3770488_FADS6,Relapse,RelapseFree,20,20,1.03104299853529,0.464765191222989,37.4782056665166,0.644788576776341,-0.1480909015567,0.236299901556699,5.0710355,5.026931,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2878074_NRG2,Relapse,RelapseFree,20,20,-1.02168821410356,-0.464699850828303,37.1387602877904,0.644859412979045,-0.165908515456411,0.103998515456412,4.748292,4.779247,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2748830_GUCY1A3,Relapse,RelapseFree,20,20,-1.0680691096869,-0.464602589423436,37.9936376338023,0.644867652906764,-0.50896873930998,0.318958739309979,4.652991,4.747996,0,two.sided,Welch Two Sample t-test,0.998325515159334
