"","CompGroup.C.","BaseGroup.B.","NumSamplesInC","NumSamplesInB","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanC","MeanB","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"X3257268_IFIT5","Relapse","RelapseFree",20,20,-1.52788875,-3.517340642,36.30916987,0.001190904,-0.96404815,-0.25903085,3.844637,4.4561765,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2497119_IL18R1","Relapse","RelapseFree",20,20,-1.248913449,-3.610361882,27.56992779,0.001201315,-0.502741628,-0.138605372,1.915097,2.2357705,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2783916_TNIP3","Relapse","RelapseFree",20,20,-1.621782668,-3.560627672,30.37443009,0.001241668,-1.097485658,-0.297675342,3.4137085,4.111289,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3420442_IRAK3","Relapse","RelapseFree",20,20,-1.514416988,-3.674134334,23.16744265,0.001247671,-0.935750567,-0.261774433,2.325067,2.9238295,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2891241_DUSP22","Relapse","RelapseFree",20,20,1.341916125,3.487572074,36.95146327,0.00127618,0.177779039,0.670809961,6.1772005,5.752906,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2693332_ALG1L","Relapse","RelapseFree",20,20,1.517809784,3.475240189,37.99678692,0.001292452,0.251318705,0.952663295,3.3307635,2.7287725,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2773958_CXCL10","Relapse","RelapseFree",20,20,-1.754433178,-3.605099729,25.48567423,0.001326462,-1.273872518,-0.348137482,2.27209,3.083095,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3167553_IL11RA","Relapse","RelapseFree",20,20,1.138405076,3.437222142,37.93488178,0.001440223,0.0768636,0.2971644,5.1805355,4.9935215,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3735089_LOC643008","Relapse","RelapseFree",20,20,1.256040079,3.43603647,35.23787949,0.001529614,0.134616259,0.523148741,6.3243515,5.995469,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3210108_C9orf40","Relapse","RelapseFree",20,20,-1.202296313,-3.410980023,37.2234935,0.00157205,-0.423646733,-0.107938267,5.393298,5.6590905,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2670975_CYP8B1","Relapse","RelapseFree",20,20,1.211454315,3.407369877,37.43233648,0.00158137,0.112240695,0.441239305,4.5623145,4.2855745,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2421995_GBP4","Relapse","RelapseFree",20,20,-1.557360565,-3.532763875,25.08332469,0.001620369,-1.011625942,-0.266580058,2.9233525,3.5624555,0,"two.sided","Welch Two Sample t-test",0.998325515
